name,source,level,school,casttime,actiontype,range,components,duration,description,spelllists
mind-sliver,Tasha's Cauldron of Everything,0,cantrip,1,action,60 feet,V,1 round,['You drive a disorienting spike of psychic energy into the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.'],"At Higher Levels. This spell’s damage increases by 1d6 when you reach certain levels: 5th level (2d6), 11th level (3d6), and 17th level (4d6)."
burning-hands,Player's Handbook,1,evocation,1,action,Self (15-foot cone),"V, S",Instantaneous,"['As you hold your hands with thumbs touching and fingers spread, a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a 15-foot cone must make a Dexterity saving throw. A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one.']",The fire ignites any flammable objects in the area that aren’t being worn or carried.
animal-shapes,Player's Handbook,8,transmutation,1,action,30 feet,"V, S","Concentration, up to 24 hours","['Your magic turns others into beasts. Choose any number of willing creatures that you can see within range. You transform each target into the form of a large or smaller beast with a challenge rating of 4 or lower. On subsequent turns, you can use your actions to transform affected creatures into new forms.']","The transformation lasts for the duration for each target, or until the target drops to 0 hit points or dies. You can choose a different form for each target. A target’s game statistics are replaced by the statistics of the chosen beast, though the target retains its alignment and Intelligence, Wisdom, and Charisma scores. The target assumes the hit points of its new form, and when it reverts to its normal form, it returns to the number of hit point it had before it transformed. If it reverts as a result of dropping to 0 hit points, any excess damage carries over to its normal form. As long as the excess damage doesn’t reduce the creature’s normal form to 0 hit points, it isn’t knocked unconcious. The creature is limited in the actions it can perform by the nature of its new form, and it can’t speak or cast spells."
hold-monster,Player's Handbook,5,enchantment,1,action,90 feet,"V, S, M (a small, straight piece of iron)","Concentration, up to 1 minute","['Choose a creature that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. This spell has no effect on undead. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target.']","At Higher Levels. When you cast this spell using a spell slot of 6th level or higher, you can target one additional creature for each slot level above 5th. The creatures must be within 30 feet of each other when you target them."
snare,Xanathar's Guide to Everything,1,abjuration,1,minute,Touch,"V, S, M (30 feet of cord or rope, which is consumed by the spell)",Until dispelled or triggered,"['While you cast this spell, you use the cord or rope to create a circle with a 5-foot radius on a flat surface within your reach. When you finish casting, the cord or rope disappears to become a magical trap.']",The trap is nearly invisible and requires a successful Intelligence (Investigation) check against your spell save DC to be found.
speak-with-dead,Player's Handbook,3,necromancy,1,action,10 feet,"V, S, M (burning incense)",10 minutes,"['You grant the semblance of life and intelligence to a corpse of your choice within range, allowing it to answer the questions you pose. The corpse must still have a mouth and can’t be undead. The spell fails if the corpse was the target of this spell within the last 10 days.']","Until the spell ends, you can ask the corpse up to five questions. The corpse knows only what it knew in life, including the languages it knew. Answers are usually brief, cryptic, or repetitive, and the corpse is under no compulsion to offer a truthful answer if you are hostile to it or it recognizes you as an enemy. This spell doesn’t return the creature’s soul to its body, only its animating spirit. Thus, the corpse can’t learn new information, doesn’t comprehend anything that has happened since it died, and can’t speculate about future events."
unearthly-chorus,Unearthed Arcana 36 - Starter Spells,1,illusion,1,action,Self (30-foot radius),V,"Concentration, up to 10 minutes","['Music of a style you choose fills the air around you in a 30-foot radius. The music spreads around corners and can be heard from up to 100 feet away. The music moves with you, centered on you for the duration.']","Until the spell ends, you make Charisma (Performance) checks with advantage. In addition, you can use a bonus action on each of your turns to beguile one creature you choose within 30 feet of you that can see you and hear the music. The creature must make a Charisma saving throw. If you or your companions are attacking it, the creature automatically succeeds on the saving throw. On a failure, the creature becomes friendly to you for as long as it can hear the music and for 1 hour thereafter. You make Charisma (Deception) checks and Charisma (Persuasion) checks against creatures made friendly by this spell with advantage."
find-familiar,Player's Handbook,1,conjuration,1,hour,10 feet,"V, S, M (10 gp worth of charcoal, incense, and herbs that must be consumed by fire in a brass brazier)",Instantaneous,"['You gain the service of a familiar, a spirit that takes an animal form you choose: bat, cat, crab, frog (toad), hawk, lizard, octopus, owl, poisonous snake, fish (quipper), rat, raven, sea horse, spider, or weasel. Appearing in an unoccupied space within range, the familiar has the statistics of the chosen form, though it is a celestial, fey, or fiend (your choice) instead of a beast.']","Your familiar acts independently of you, but it always obeys your commands. In combat, it rolls its own initiative and acts on its own turn. A familiar can’t attack, but it can take other actions as normal."
mirror-image,Player's Handbook,2,illusion,1,action,Self,"V, S",1 minute,"['Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your actions, shifting position so it’s impossible to track which image is real. You can use your action to dismiss the illusory duplicates.']","Each time a creature targets you with an attack during the spell’s duration, roll a d20 to determine whether the attack instead targets one of your duplicates."
vampiric-touch,Player's Handbook,3,necromancy,1,action,Self,"V, S","Concentration, up to 1 minute","['The touch of your shadow-wreathed hand can siphon force from others to heal your wounds. Make a melee spell attack against a creature within your reach. On a hit, the target takes 3d6 necrotic damage, and you regain hit points equal to half the amount of necrotic damage dealt. Until the spell ends, you can make the attack again on each of your turns as an action.']","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for each slot level above 3rd."
teleport,Player's Handbook,7,conjuration,1,action,10 feet,V,Instantaneous,"['This spell instantly transports you and up to eight willing creatures of your choice that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be able to fit entirely inside a 10-foot cube, and it can’t be held or carried by an unwilling creature.']","The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The DM rolls d100 and consults the table."
summon-greater-demon,Xanathar's Guide to Everything,4,conjuration,1,action,60 feet,"V, S, M (a vial of blood from a humanoid killed within the past 24 hours)","Concentration, up to 1 hour","['You utter foul words, summoning one demon from the chaos of the Abyss. You choose the demon’s type, which must be one of challenge rating 5 or lower, such as a shadow demon or a barlgura. The demon appears in an unoccupied space you can see within range, and the demon disappears when it drops to 0 hit points or when the spell ends.']","Roll initiative for the demon, which has its own turns. When you summon it and on each of your turns thereafter, you can issue a verbal command to it (requiring no action on your part), telling it what it must do on its next turn. If you issue no command, it spends its turn attacking any creature within reach that has attacked it."
sunbeam,Player's Handbook,6,evocation,1,action,Self (60-foot line),"V, S, M (a magnifying glass)","Concentration, up to 1 minute","['A beam of brilliant light flashes out from your hand in a 5-foot-wide, 60-foot-line. Each creature in the line must make a Constitution saving throw. On a failed save, a creature takes 6d8 radiant damage and is blinded until your next turn. On a successful save, it takes half as much damage and isn’t blinded by this spell. Undead and oozes have disadvantage on this saving throw.']",You can create a new line of radiance as your action on any turn until the spell ends.
cordon-of-arrows,Player's Handbook,2,transmutation,1,action,5 feet,"V, S, M (four or more arrows or bolts)",8 hours,"['You plant four pieces of nonmagical ammunition – arrows or crossbow bolts – in the ground within range and lay magic upon them to protect an area. Until the spell ends, whenever a creature other than you comes within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 1d6 piercing damage. The piece of ammunition is then destroyed. The spell ends when no ammunition remains.']","When you cast this spell, you can designate any creatures you choose, and the spell ignores them."
stone-shape,Player's Handbook,4,transmutation,1,action,Touch,"V, S, M (soft clay, which must be worked into roughly the desired shape of the stone object)",Instantaneous,"['You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape that suits your purpose. So, for example, you could shape a large rock into a weapon, idol, or coffer, or make a small passage through a wall, as long as the wall is less than 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn’t possible.']","Artificer, Cleric, Druid, Wizard"
find-traps,Player's Handbook,2,divination,1,action,120 feet,"V, S",Instantaneous,['You sense the presence of any trap within range that is within line of sight.'],"A trap, for the purpose of this spell, includes anything that would inflict a sudden or unexpected effect you consider harmful or undesirable, which was specifically intended as such by its creator. Thus, the spell would sense an area affected by the alarm spell, a glyph of warding, or a mechanical pit trap, but it would not reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole."
flesh-to-stone,Player's Handbook,6,transmutation,1,action,60 feet,"V, S, M (a pinch of lime, water, and earth)","Concentration, up to 1 minute","[""You attempt to turn one creature that you can see within range into stone. If the target's body is made of flesh, the creature must make a Constitution saving throw. On a failed save, it is restrained as its flesh begins to harden. On a successful save, the creature isn’t affected.""]","A creature restrained by this spell must make another Constitution saving throw at the end of each of its turns. If it successfully saves against this spell three times, the spell ends. If it fails saves three times, it is turned to stone and subjected to the petrified condition for the duration. The successes and failures don’t need to be consecutive; keep track of both until the target collects three of a kind."
true-seeing,Player's Handbook,6,divination,1,action,Touch,"V, S, M (an ointment for the eyes that costs 25 gp; is made from mushroom powder, saffron, and fat; and is consumed by the spell)",1 hour,"['This spell gives the willing creature you touch the ability to see things as they actually are. For the duration, the creature has truesight, notices secret doors hidden by magic, and can see into the Ethereal Plane, all out to a range of 120 feet.']","Bard, Cleric, Sorcerer, Warlock, Wizard"
remove-curse,Player's Handbook,3,abjuration,1,action,Touch,"V, S",Instantaneous,"['At your touch, all curses affecting one creature or object end. If the object is a cursed magic item, its curse remains, but the spell breaks its owner’s attunement to the object so it can be removed or discarded.']","Cleric, Paladin, Warlock, Wizard"
power-word-pain,Xanathar's Guide to Everything,7,enchantment,1,action,60 feet,V,Instantaneous,"['You speak a word of power that causes waves of intense pain to assail one creature you can see within range. If the target has 100 hit points or fewer, it is subject to crippling pain. Otherwise, the spell has no effect on it. A target is also unaffected if it is immune to being charmed.']","While the target is affected by crippling pain, any speed it has can be no higher than 10 feet. The target also has disadvantage on attack rolls, ability checks, and saving throws, other than Constitution saving throws. Finally, if the target tries to cast a spell, it must first succeed on a Constitution saving throw, or the casting fails and the spell is wasted."
beast-bond,Xanathar's Guide to Everything,1,divination,1,action,Touch,"V, S, M (a bit of fur wrapped in cloth)","Concentration, up to 10 minutes","['You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast’s Intelligence is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.']","Druid, Ranger"
bigbys-hand,Player's Handbook,5,evocation,1,action,120 feet,"V, S, M (an eggshell and a snakeskin glove)","Concentration, up to 1 minute","['You create a Large hand of shimmering, translucent force in an unoccupied space that you can see within range. The hand lasts for the spell’s duration, and it moves at your command, mimicking the movements of your own hand.']","The hand is an object that has AC 20 and hit points equal to your hit point maximum. If it drops to 0 hit points, the spell ends. It has a Strength of 26 (+8) and a Dexterity of 10 (+0). The hand doesn’t fill its space."
soul-cage,Xanathar's Guide to Everything,6,necromancy,1,dies,60 feet,"V, S, M (a tiny silver cage worth 100 gp)",8 hours,"['This spell snatches the soul of a humanoid as it dies and traps it inside the tiny cage you use for the material component. A stolen soul remains inside the cage until the spell ends or until you destroy the cage, which ends the spell. While you have a soul inside the cage, you can exploit it in any of the ways described below. You can use a trapped soul up to six times. Once you exploit a soul for the sixth time, it is released, and the spell ends. While a soul is trapped, the dead humanoid it came from can’t be revived.']",Steal Life. You can use a bonus action to drain vigor from the soul and regain 2d8 hit points.
shocking-grasp,Player's Handbook,0,cantrip,1,action,Touch,"V, S",Instantaneous,"['Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can’t take reactions until the start of its next turn.']","At Higher Levels. The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
staggering-smite,Player's Handbook,4,evocation,1,action,Self,V,"Concentration, up to 1 minute","['The next time you hit a creature with a melee weapon attack during this spell’s duration, your weapon pierces both body and mind, and the attack deals an extra 4d6 psychic damage to the target. The target must make a Wisdom saving throw. On a failed save, it has disadvantage on attack rolls and ability checks, and can’t take reactions, until the end of its next turn.']",Paladin
rimes-binding-ice,Fizban's Treasury of Dragons,2,Evocation,1,Action,Self (30-foot cone),"S, M (a vial of meltwater)",Instantaneous,"['A burst of cold energy emanates from you in a 30-foot cone. Each creature in that area must make a Constitution saving throw. On a failed save, a creature takes 3d8 cold damage and is hindered by ice formations for 1 minute, or until it or another creature within reach of it uses an action to break away the ice. A creature hindered by ice has its speed reduced to 0. On a successful save, a creature takes half as much damage and isn’t hindered by ice.']","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, increase the cold damage by 1d8 for each slot level above 2nd."
create-bonfire,Xanathar's Guide to Everything,0,cantrip,1,action,60 feet,"V, S","Concentration, up to 1 minute","['You create a bonfire on ground that you can see within range. Until the spell ends, the bonfire fills a 5-foot cube. Any creature in the bonfire’s space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there.']","At Higher Levels. The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
skywrite,Xanathar's Guide to Everything,2,transmutation,1,action,Sight,"V, S","Concentration, up to 1 day",['You cause up to ten words to form in a part of the sky you can see. The words appear to be made of cloud and remain in place for the spell’s duration. The words dissipate when the spell ends. A strong wind can disperse the clouds and end the spell early.'],"Bard, Druid, Wizard, Artificer"
watery-sphere,Xanathar's Guide to Everything,4,conjuration,1,action,90 feet,"V, S, M (a droplet of water)","Concentration, up to 1 minute","['You conjure up a sphere of water with a 5-foot radius on a point you can see within range. The sphere can hover in the air, but no more than 10 feet off the ground. The sphere remains for the spell’s duration.']","Any creature in the sphere’s space must make a Strength saving throw. On a successful save, a creature is ejected from that space to the nearest unoccupied space outside it. A Huge or larger creature succeeds on the saving throw automatically. On a failed save, a creature is restrained by the sphere and is engulfed by the water. At the end of each of its turns, a restrained target can repeat the saving throw."
programmed-illusion,Player's Handbook,6,illusion,1,action,120 feet,"V, S, M (a bit of fleece and jade dust worth at least 25 gp)",Until dispelled,"['You create an illusion of an object, a creature, or some other visible phenomenon within range that activates when a specific condition occurs. The illusion is imperceptible until then. It must be no larger than a 30-foot cube, and you decide when you cast the spell how the illusion behaves and what sounds it makes. This scripted performance can last up to 5 minutes.']","When the condition you specify occurs, the illusion springs into existence and performs in the manner you described. Once the illusion finishes performing, it disappears and remains dormant for 10 minutes. After this time, the illusion can be activated again."
weird,Player's Handbook,9,illusion,1,action,120 feet,"V, S","Concentration, up to 1 minute","['Drawing on the deepest fears of a group of creatures, you create illusory creatures in their minds, visible only to them.']","Each creature in a 30-foot-radius sphere centered on a point of your choice within range must make a Wisdom saving throw. On a failed save, a creature becomes frightened for the duration.
The illusion calls on the creature’s deepest fears, manifesting its worst nightmares as an implacable threat. At the end of each of the frightened creature’s turns, it must succeed on a Wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends for that creature."
lightning-lure,Tasha's Cauldron of Everything,0,cantrip,1,action,Self (15-foot radius),V,Instantaneous,['You create a lash of lightning energy that strikes at one creature of your choice that you can see within 15 feet of you. The target must succeed on a Strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you.'],"At Higher Levels. This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8)."
goodberry,Player's Handbook,1,transmutation,1,action,Touch,"V, S, M (a sprig of mistletoe)",Instantaneous,"['Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for one day.']",The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell.
conjure-woodland-beings,Player's Handbook,4,conjuration,1,action,60 feet,"V, S, M (one holly berry per creature summoned)","Concentration, up to 1 hour",['You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:'],A summoned creature disappears when it drops to 0 hit points or when the spell ends.
investiture-of-wind,Xanathar's Guide to Everything,6,transmutation,1,action,Self,"V, S","Concentration, up to 10 minutes","['Until the spell ends, wind whirls around you, and you gain the following benefits:']","Druid, Sorcerer, Warlock, Wizard"
heroism,Player's Handbook,1,enchantment,1,action,Touch,"V, S","Concentration, up to 1 minute","['A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st."
sleet-storm,Player's Handbook,3,conjuration,1,action,120 feet,"V, S, M (a pinch of dust and a few drops of water)","Concentration, up to 1 minute","['Until the spell ends, freezing rain and sleet fall in a 20-foot-tall cylinder with a 40-foot radius centered on a point you choose within range. The area is heavily obscured, and exposed flames in the area are doused.']","The ground in the area is covered with slick ice, making it difficult terrain. When a creature enters the spell’s area for the first time on a turn or starts its turn there, it must make a Dexterity saving throw. On a failed save, it falls prone."
foresight,Player's Handbook,9,divination,1,minute,Touch,"V, S, M (a hummingbird feather)",8 hours,"['You touch a willing creature and bestow a limited ability to see into the immediate future. For the duration, the target can’t be surprised and has advantage on attack rolls, ability checks, and saving throws. Additionally, other creatures have disadvantage on attack rolls against the target for the duration. This spell immediately ends if you cast it again before its duration ends.']","Bard, Druid, Warlock, Wizard"
mental-barrier,"Unearthed Arcana 66 - Fighter, Rogue, and Wizard",2,abjuration,1,throw,Self,V,1 round,"['You protect your mind with a wall of looping, repetitive thought. Until the start of your next turn, you have advantage on Intelligence, Wisdom, and Charisma saving throws, and you have resistance to psychic damage.']","Sorcerer, Warlock, Wizard"
gravity-fissure,Explorer's Guide to Wildemount,6,evocation,1,action,Self (100-foot line),"V, S, M (a fistful of iron filings)",Instantaneous,"['You manifest a ravine of gravitational energy in a line originating from you that is 100 feet long and 5 feet wide. Each creature in that line must make a Constitution saving throw, taking 8d8 force damage on a failed save, or half as much damage on a successful one.']",Each creature within 10 feet of the line but not in it must succeed on a Constitution saving throw or take 8d8 force damage and be pulled toward the line until the creature is in its area.
counterspell,Player's Handbook,3,abjuration,1,spell,60 feet,S,Instantaneous,"['You attempt to interrupt a creature in the process of casting a spell. If the creature is casting a spell of 3rd level or lower, its spell fails and has no effect. If it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability. The DC equals 10 + the spell’s level. On a success, the creature’s spell fails and has no effect.']","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the interrupted spell has no effect if its level is less than or equal to the level of the spell slot you used."
locate-object,Player's Handbook,2,divination,1,action,Self,"V, S, M (a forked twig)","Concentration, up to 10 minutes","['Describe or name an object that is familiar to you. You sense the direction to the object’s location, as long as that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.']","The spell can locate a specific object known to you, as long as you have seen it up close – within 30 feet – at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon."
banishing-smite,Player's Handbook,5,abjuration,1,action,Self,V,"Concentration, up to 1 minute","['The next time you hit a creature with a weapon attack before this spell ends, your weapon crackles with force, and the attack deals an extra 5d10 force damage to the target. Additionally, if this attack reduces the target to 50 hit points of fewer, you banish it. If the target is native to a different plane of existence than the on you’re on, the target disappears, returning to its home plane. If the target is native to the plane you’re on, the creature vanishes into a harmless demiplane. While there, the target is incapacitated. It remains there until the spell ends, at which point the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.']",Paladin
druidcraft,Player's Handbook,0,cantrip,1,action,30 feet,"V, S",Instantaneous,"['Whispering to the spirits of nature, you create one of the following effects within range:']",Druid
regenerate,Player's Handbook,7,transmutation,1,minute,Touch,"V, S, M (a prayer wheel and holy water)",1 hour,"['You touch a creature and stimulate its natural healing ability. The target regains 4d8 + 15 hit points. For the duration of the spell, the target regains 1 hit point at the start of each of its turns (10 hit points each minute).']","The target’s severed body members (fingers, legs, tails, and so on), if any, are restored after 2 minutes. If you have the severed part and hold it to the stump, the spell instantaneously causes the limb to knit to the stump."
telepathy,Player's Handbook,8,evocation,1,action,Unlimited,"V, S, M (a pair of linked silver rings)",24 hours,['You create a telepathic link between yourself and a willing creature with which you are familiar. The creature can be anywhere on the same plane of existence as you. The spell ends if you or the target are no longer on the same plane.'],"Until the spell ends, you and the target can instantaneously share words, images, sounds, and other sensory messages with one another through the link, and the target recognizes you as the creature it is communicating with. The spell enables a creature with an Intelligence score of at least 1 to understand the meaning of your words and take in the scope of any sensory messages you send to it."
illusory-dragon,Xanathar's Guide to Everything,8,illusion,1,action,120 feet,S,"Concentration, up to 1 minute","['By gathering threads of shadow material from the Shadowfell, you create a Huge shadowy dragon in an unoccupied space that you can see within range. The illusion lasts for the spell’s duration and occupies its space, as if it were a creature.']","When the illusion appears, any of your enemies that can see it must succeed on a Wisdom saving throw or become frightened of it for 1 minute. If a frightened creature ends its turn in a location where it doesn’t have line of sight to the illusion, it can repeat the saving throw, ending the effect on itself on a success."
chromatic-orb,Player's Handbook,1,evocation,1,action,90 feet,"V, S, M (a diamond worth at least 50 gp)",Instantaneous,"['You hurl a 4-inch-diameter sphere of energy at a creature that you can see within range. You choose acid, cold, fire, lightning, poison, or thunder for the type of orb you create, and then make a ranged spell attack against the target. If the attack hits, the creature takes 3d8 damage of the type you chose.']","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st."
stoneskin,Player's Handbook,4,abjuration,1,action,Touch,"V, S, M (diamond dust worth 100 gp, which the spell consumes)","Concentration, up to 1 hour","['This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage.']","Artificer, Druid, Ranger, Sorcerer, Wizard"
animate-objects,Player's Handbook,5,transmutation,1,action,120 feet,"V, S","Concentration, up to 1 minute","['Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can’t animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points.']","As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete."
mold-earth,Xanathar's Guide to Everything,0,cantrip,1,action,30 feet,S,Instantaneous or 1 hour,['You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:'],"If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action."
